epoch,op,field,before,after,reason
25,clahe,strength,0.06999999999999998,0.08499999999999998,low_contrast_fn_high_monitor_fp
25,gamma,prob,0.08000000000000003,0.10000000000000003,low_contrast_fn_high_monitor_fp
25,gamma,strength,0.06999999999999998,0.08499999999999998,low_contrast_fn_high_monitor_fp
25,local_contrast,strength,0.28500000000000003,0.30000000000000004,low_contrast_fn_high_monitor_fp
25,sharpen_mild,strength,0.28500000000000003,0.30000000000000004,low_contrast_fn_high_monitor_fp
30,clahe,prob,0.10000000000000003,0.12000000000000004,recall_low_or_fn_high
30,clahe,strength,0.08499999999999998,0.09999999999999998,recall_low_or_fn_high
30,gamma,prob,0.10000000000000003,0.12000000000000004,recall_low_or_fn_high
30,gamma,strength,0.08499999999999998,0.09999999999999998,recall_low_or_fn_high
30,sharpen_mild,strength,0.30000000000000004,0.31500000000000006,recall_low_or_fn_high
30,local_contrast,strength,0.30000000000000004,0.31500000000000006,recall_low_or_fn_high
30,brightness,prob,0.0,0.015,recall_low_brightness_like
30,brightness,strength,0.0,0.01,recall_low_brightness_like
30,brightness,prob,0.015,0.0,precision_low_or_fp_high
30,brightness,strength,0.01,0.0,precision_low_or_fp_high
30,clahe,prob,0.12000000000000004,0.09000000000000004,precision_low_or_fp_high
30,clahe,strength,0.09999999999999998,0.07999999999999997,precision_low_or_fp_high
30,gamma,prob,0.12000000000000004,0.09000000000000004,precision_low_or_fp_high
30,gamma,strength,0.09999999999999998,0.07999999999999997,precision_low_or_fp_high
30,cutout_safe,prob,0.06999999999999998,0.09999999999999998,precision_low_hard_negative_like
30,cutout_safe,strength,0.02,0.04,precision_low_hard_negative_like
30,sharpen_mild,strength,0.31500000000000006,0.3450000000000001,map50_high_map95_low
30,local_contrast,strength,0.31500000000000006,0.3450000000000001,map50_high_map95_low
30,cutout_safe,prob,0.09999999999999998,0.07999999999999997,map50_high_map95_low_reduce_cutout
30,cutout_safe,strength,0.04,0.02,map50_high_map95_low_reduce_cutout
30,clahe,prob,0.09000000000000004,0.11000000000000004,low_contrast_fn_high_monitor_fp
30,clahe,strength,0.07999999999999997,0.09499999999999997,low_contrast_fn_high_monitor_fp
30,gamma,prob,0.09000000000000004,0.11000000000000004,low_contrast_fn_high_monitor_fp
30,gamma,strength,0.07999999999999997,0.09499999999999997,low_contrast_fn_high_monitor_fp
30,local_contrast,strength,0.3450000000000001,0.3600000000000001,low_contrast_fn_high_monitor_fp
30,sharpen_mild,strength,0.3450000000000001,0.3600000000000001,low_contrast_fn_high_monitor_fp
35,clahe,prob,0.11000000000000004,0.13000000000000003,recall_low_or_fn_high
35,clahe,strength,0.09499999999999997,0.10999999999999997,recall_low_or_fn_high
35,gamma,prob,0.11000000000000004,0.13000000000000003,recall_low_or_fn_high
35,gamma,strength,0.09499999999999997,0.10999999999999997,recall_low_or_fn_high
35,sharpen_mild,strength,0.3600000000000001,0.3750000000000001,recall_low_or_fn_high
35,local_contrast,strength,0.3600000000000001,0.3750000000000001,recall_low_or_fn_high
35,brightness,prob,0.0,0.015,recall_low_brightness_like
35,brightness,strength,0.0,0.01,recall_low_brightness_like
35,brightness,prob,0.015,0.0,precision_low_or_fp_high
35,brightness,strength,0.01,0.0,precision_low_or_fp_high
35,clahe,prob,0.13000000000000003,0.10000000000000003,precision_low_or_fp_high
35,clahe,strength,0.10999999999999997,0.08999999999999997,precision_low_or_fp_high
35,gamma,prob,0.13000000000000003,0.10000000000000003,precision_low_or_fp_high
35,gamma,strength,0.10999999999999997,0.08999999999999997,precision_low_or_fp_high
35,cutout_safe,prob,0.07999999999999997,0.10999999999999997,precision_low_hard_negative_like
35,cutout_safe,strength,0.02,0.04,precision_low_hard_negative_like
