stage_index,scope,name,field,before,after,reason
6,custom_industrial_policy,clahe,strength,0.10000000000000005,0.14000000000000004,recall_low_or_fn_high
6,custom_industrial_policy,gamma,prob,0.10999999999999996,0.15999999999999998,recall_low_or_fn_high
6,custom_industrial_policy,gamma,strength,0.10000000000000005,0.14000000000000004,recall_low_or_fn_high
6,official_yolo_aug,hsv_v,value,0.29500000000000026,0.2550000000000003,precision_low_or_fp_high
6,custom_industrial_policy,clahe,prob,0.15999999999999998,0.11999999999999997,precision_low_or_fp_high
6,custom_industrial_policy,clahe,strength,0.14000000000000004,0.11000000000000004,precision_low_or_fp_high
6,custom_industrial_policy,gamma,prob,0.15999999999999998,0.11999999999999997,precision_low_or_fp_high
6,custom_industrial_policy,gamma,strength,0.14000000000000004,0.11000000000000004,precision_low_or_fp_high
6,custom_industrial_policy,local_contrast,prob,0.22499999999999995,0.18499999999999994,precision_low_or_fp_high
6,custom_industrial_policy,local_contrast,strength,0.19,0.16,precision_low_or_fp_high
6,custom_industrial_policy,cutout_safe,prob,0.24000000000000002,0.25,precision_low_hard_negative_like
6,custom_industrial_policy,cutout_safe,strength,0.18,0.21,precision_low_hard_negative_like
6,official_yolo_aug,translate,value,0.05,0.04,map50_high_map95_low_reduce_geometry
6,official_yolo_aug,scale,value,0.47500000000000003,0.42500000000000004,map50_high_map95_low_reduce_geometry
6,custom_industrial_policy,local_contrast,prob,0.18499999999999994,0.23499999999999993,map50_high_map95_low
6,custom_industrial_policy,local_contrast,strength,0.16,0.2,map50_high_map95_low
6,custom_industrial_policy,clahe,prob,0.11999999999999997,0.16999999999999998,low_contrast_fn_high_monitor_fp
6,custom_industrial_policy,clahe,strength,0.11000000000000004,0.15000000000000005,low_contrast_fn_high_monitor_fp
6,custom_industrial_policy,gamma,prob,0.11999999999999997,0.16999999999999998,low_contrast_fn_high_monitor_fp
6,custom_industrial_policy,gamma,strength,0.11000000000000004,0.15000000000000005,low_contrast_fn_high_monitor_fp
6,custom_industrial_policy,local_contrast,prob,0.23499999999999993,0.2849999999999999,low_contrast_fn_high_monitor_fp
6,custom_industrial_policy,local_contrast,strength,0.2,0.24000000000000002,low_contrast_fn_high_monitor_fp
7,official_yolo_aug,hsv_v,value,0.2550000000000003,0.28500000000000025,recall_low_or_fn_high
7,official_yolo_aug,translate,value,0.04,0.05,recall_low_or_fn_high
7,official_yolo_aug,scale,value,0.42500000000000004,0.47500000000000003,recall_low_or_fn_high
7,custom_industrial_policy,clahe,prob,0.16999999999999998,0.21999999999999997,recall_low_or_fn_high
7,custom_industrial_policy,clahe,strength,0.15000000000000005,0.19000000000000006,recall_low_or_fn_high
7,custom_industrial_policy,gamma,prob,0.16999999999999998,0.21999999999999997,recall_low_or_fn_high
7,custom_industrial_policy,gamma,strength,0.15000000000000005,0.19000000000000006,recall_low_or_fn_high
7,official_yolo_aug,hsv_v,value,0.28500000000000025,0.25,precision_low_or_fp_high
7,custom_industrial_policy,clahe,prob,0.21999999999999997,0.17999999999999997,precision_low_or_fp_high
7,custom_industrial_policy,clahe,strength,0.19000000000000006,0.16000000000000006,precision_low_or_fp_high
7,custom_industrial_policy,gamma,prob,0.21999999999999997,0.17999999999999997,precision_low_or_fp_high
7,custom_industrial_policy,gamma,strength,0.19000000000000006,0.16000000000000006,precision_low_or_fp_high
7,custom_industrial_policy,local_contrast,prob,0.2849999999999999,0.2449999999999999,precision_low_or_fp_high
7,custom_industrial_policy,local_contrast,strength,0.24000000000000002,0.21000000000000002,precision_low_or_fp_high
7,custom_industrial_policy,cutout_safe,strength,0.21,0.24,precision_low_hard_negative_like
7,official_yolo_aug,translate,value,0.05,0.04,map50_high_map95_low_reduce_geometry
7,official_yolo_aug,scale,value,0.47500000000000003,0.42500000000000004,map50_high_map95_low_reduce_geometry
7,custom_industrial_policy,local_contrast,prob,0.2449999999999999,0.29499999999999993,map50_high_map95_low
7,custom_industrial_policy,local_contrast,strength,0.21000000000000002,0.25,map50_high_map95_low
7,custom_industrial_policy,clahe,prob,0.17999999999999997,0.22999999999999998,low_contrast_fn_high_monitor_fp
7,custom_industrial_policy,clahe,strength,0.16000000000000006,0.20000000000000007,low_contrast_fn_high_monitor_fp
7,custom_industrial_policy,gamma,prob,0.17999999999999997,0.22999999999999998,low_contrast_fn_high_monitor_fp
7,custom_industrial_policy,gamma,strength,0.16000000000000006,0.20000000000000007,low_contrast_fn_high_monitor_fp
7,custom_industrial_policy,local_contrast,prob,0.29499999999999993,0.3,low_contrast_fn_high_monitor_fp
7,custom_industrial_policy,local_contrast,strength,0.25,0.29,low_contrast_fn_high_monitor_fp
8,official_yolo_aug,hsv_v,value,0.25,0.265,recall_low_or_fn_high
8,official_yolo_aug,translate,value,0.04,0.045,recall_low_or_fn_high
8,official_yolo_aug,scale,value,0.42500000000000004,0.45000000000000007,recall_low_or_fn_high
8,custom_industrial_policy,clahe,prob,0.22999999999999998,0.255,recall_low_or_fn_high
8,custom_industrial_policy,clahe,strength,0.20000000000000007,0.22000000000000006,recall_low_or_fn_high
8,custom_industrial_policy,gamma,prob,0.22999999999999998,0.255,recall_low_or_fn_high
8,custom_industrial_policy,gamma,strength,0.20000000000000007,0.22000000000000006,recall_low_or_fn_high
8,official_yolo_aug,hsv_v,value,0.265,0.25,precision_low_or_fp_high
8,custom_industrial_policy,clahe,prob,0.255,0.215,precision_low_or_fp_high
8,custom_industrial_policy,clahe,strength,0.22000000000000006,0.19000000000000006,precision_low_or_fp_high
8,custom_industrial_policy,gamma,prob,0.255,0.215,precision_low_or_fp_high
8,custom_industrial_policy,gamma,strength,0.22000000000000006,0.19000000000000006,precision_low_or_fp_high
8,custom_industrial_policy,local_contrast,prob,0.3,0.26,precision_low_or_fp_high
8,custom_industrial_policy,local_contrast,strength,0.29,0.26,precision_low_or_fp_high
8,custom_industrial_policy,cutout_safe,strength,0.24,0.27,precision_low_hard_negative_like
8,official_yolo_aug,translate,value,0.045,0.04,map50_high_map95_low_reduce_geometry
8,official_yolo_aug,scale,value,0.45000000000000007,0.4000000000000001,map50_high_map95_low_reduce_geometry
8,custom_industrial_policy,local_contrast,prob,0.26,0.3,map50_high_map95_low
8,custom_industrial_policy,local_contrast,strength,0.26,0.3,map50_high_map95_low
8,custom_industrial_policy,clahe,prob,0.215,0.24,low_contrast_fn_high_monitor_fp
8,custom_industrial_policy,clahe,strength,0.19000000000000006,0.21000000000000005,low_contrast_fn_high_monitor_fp
8,custom_industrial_policy,gamma,prob,0.215,0.24,low_contrast_fn_high_monitor_fp
8,custom_industrial_policy,gamma,strength,0.19000000000000006,0.21000000000000005,low_contrast_fn_high_monitor_fp
8,custom_industrial_policy,local_contrast,strength,0.3,0.32,low_contrast_fn_high_monitor_fp
